artist,title,sentiment
Casual,I Didn't Mean To,0.3236624239041608
The Box Tops,Soul Deep,-0.7549521201722819
Sonora Santanera,Amor De Cabaret,0.39232122697793614
Adam Ant,Something Girls,0.7704082733017288
Gob,Face the Ashes,0.45091861051388293
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),1.0188646825427716
Rated R,Keepin It Real (Skit),-0.9169160578071063
Tweeterfriendly Music,Drop of Rain,-1.2799116298469455
Planet P Project,Pink World,0.5847232899769939
Clp,Insatiable (Instrumental Version),-0.3012142091614619
JennyAnyKind,Young Boy Blues,-1.1188920948438996
Wayne Watson,The Urgency (LP Version),0.5574620516367934
Andy Andy,La Culpa,-0.5426543171226256
Bob Azzam,Auguri Cha Cha,-1.3883645536105282
Lionel Richie,Tonight Will Be Alright,0.5736472084623268
Blue Rodeo,Floating,1.5179332642220456
Richard Souther,High Tide,0.11775443190817048
Faiz Ali Faiz,Sohna Nee Sohna Data,-0.22297335145976926
Tesla,Caught In A Dream,1.7616744758032543
lextrical,Synthetic Dream,-0.3501601670190191
Jimmy Wakely,Broken-Down Merry-Go-Round,1.4695370622834776
Alice Stuart,Kassie Jones,0.22976717996171092
Elena,Setanta matins,1.1453039118179014
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,0.4653313165359665
SUE THOMPSON,James (Hold The Ladder Steady),0.436703679276097
Five Bolt Main,Made Like This (Live),0.3604471902082327
Clp,Superconfidential,0.5135465389445109
Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),1.5171734351046233
Willie Bobo,Spanish Grease,1.6282770195023204
Faye Adams,Crazy Mixed Up World,0.22414993111155335
Terry Callier,Do You Finally Need A Friend,0.3132561506502862
John Wesley,The Emperor Falls,-0.31109816211695096
The Shangri-Las,Twist and Shout,-0.41635443949204876
Billie Jo Spears,It Makes No Difference Now,-0.2606553759502849
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),-0.23673903538996
Sierra Maestra,¿Dónde va Chichi?,1.2905274940514493
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",-0.06911920827579432
Despina Vandi,OUTE ENA EFHARISTO,0.18521400275520428
Javier Navarrete,Midnight Swim,0.12130823495045218
Jacob Young,In A Subtle Way,0.3096375424694051
Scarlet's Remains,Spin,1.0438904956555728
The Suicide Machines,Burning In The Aftermath,1.0064021356572734
The Rolling Stones,Angie (1993 Digital Remaster),-0.5585257411406888
Roberto Torres,Sabor Guajiro,0.5818187660864687
Loudon Wainwright III,Human Cannonball,0.6214178329905817
R.L. Burnside,Glory Be,-0.702290531029801
Stevie Ray Vaughan,Crossfire,1.1567601789190205
